cve,epss,ranking_epss
CVE-2022-27263,0.0218,0.83776
CVE-2021-23434,0.0007,0.22142
CVE-2020-24025,0.00547,0.66946
CVE-2017-16118,0.006,0.68556
CVE-2022-25883,0.00321,0.54606
CVE-2018-6184,0.49051,0.97711
CVE-2022-3517,0.00457,0.63144
CVE-2015-1164,0.003,0.52927
CVE-2024-24750,0.00356,0.57199
CVE-2019-10062,0.00545,0.66867
CVE-2025-8129,0.00042,0.1224
CVE-2022-37602,0.00137,0.34375
CVE-2017-1000188,0.00234,0.46239
CVE-2022-1243,0.00318,0.54344
CVE-2025-46233,0.0002,0.03788
CVE-2019-5415,0.00318,0.54371
CVE-2022-27140,0.00456,0.63089
CVE-2025-3191,0.00024,0.05003
CVE-2024-42461,0.02213,0.83896
CVE-2015-8854,0.0102,0.76479
CVE-2019-14939,0.00059,0.18662
CVE-2025-25977,0.00249,0.48138
CVE-2022-21211,0.00411,0.60692
CVE-2025-5101,0.0002,0.03849
CVE-2024-21548,0.00094,0.27313
CVE-2022-24066,0.01525,0.80668
CVE-2020-7699,0.04089,0.88128
CVE-2024-9506,0.0005,0.15394
CVE-2023-34238,0.00451,0.62888
CVE-2022-0536,0.00063,0.20134
CVE-2019-5786,0.90519,0.99591
CVE-2021-23632,0.03224,0.86573
CVE-2015-1370,0.00349,0.56781
CVE-2021-28128,0.00259,0.49191
CVE-2023-26152,0.00766,0.726
CVE-2023-29827,0.69579,0.98619
CVE-2021-29489,0.00227,0.45514
CVE-2023-29008,0.00161,0.37691
CVE-2022-0512,0.00028,0.06466
CVE-2022-25875,0.00697,0.71109
CVE-2020-12265,0.00737,0.7201
CVE-2024-47061,0.00322,0.54697
CVE-2020-8178,0.05601,0.89944
CVE-2021-3757,0.00115,0.31032
CVE-2018-18240,0.02706,0.85369
CVE-2019-16777,0.00287,0.51885
CVE-2020-28498,0.00473,0.63834
CVE-2022-35961,0.00127,0.32989
CVE-2023-44270,0.00112,0.30502
CVE-2020-19698,0.00217,0.44359
CVE-2024-32869,0.0128,0.78894
CVE-2025-32442,0.00104,0.29093
CVE-2024-43800,0.00056,0.1768
CVE-2023-48309,0.00225,0.45332
CVE-2017-16129,0.00209,0.43436
CVE-2023-0835,0.00108,0.29738
CVE-2024-57965,0.00059,0.18673
CVE-2025-46565,0.00089,0.26369
CVE-2025-30360,0.00021,0.03953
CVE-2022-31172,0.00108,0.29752
CVE-2024-52810,0.00301,0.53032
CVE-2021-32723,0.00373,0.58272
CVE-2019-10744,0.0341,0.86968
CVE-2023-5129,,
CVE-2021-27290,0.02665,0.85268
CVE-2021-37701,0.00029,0.0684
CVE-2021-25987,0.00098,0.28046
CVE-2024-57556,0.00174,0.39301
CVE-2024-23331,0.00366,0.57912
CVE-2025-54880,0.00057,0.17882
CVE-2018-14042,0.00904,0.7495
CVE-2020-4076,0.00075,0.23432
CVE-2022-35204,0.01179,0.7804
CVE-2024-7042,0.00068,0.21577
CVE-2021-23400,0.00536,0.66572
CVE-2022-39288,0.09116,0.92373
CVE-2022-22984,0.01202,0.78235
CVE-2022-1291,0.00365,0.57809
CVE-2025-1594,0.00145,0.35585
CVE-2016-4055,0.03849,0.87743
CVE-2022-31170,0.00294,0.52355
CVE-2024-21501,0.01341,0.79351
CVE-2024-47885,0.00038,0.1085
CVE-2022-31108,0.00223,0.45053
CVE-2024-8474,0.00227,0.45462
CVE-2021-27815,0.00316,0.54204
CVE-2024-34350,0.00635,0.69545
CVE-2021-27516,0.00552,0.67093
CVE-2023-34459,0.00632,0.69477
CVE-2024-45590,0.00504,0.65251
CVE-2025-57285,0.00961,0.75714
CVE-2019-5448,0.00107,0.29659
CVE-2018-16492,0.02519,0.84875
CVE-2019-18413,0.00114,0.30796
CVE-2016-1000236,0.00539,0.66701
CVE-2021-39199,0.00329,0.55254
CVE-2022-25854,0.00601,0.68563
CVE-2022-21718,0.00935,0.75391
CVE-2025-26619,0.0004,0.11537
CVE-2025-58752,0.00017,0.0267
CVE-2024-53866,0.00208,0.43329
CVE-2025-57752,0.00019,0.03339
CVE-2024-47875,0.00693,0.71034
CVE-2019-15138,0.00316,0.54173
CVE-2023-30542,0.00175,0.39478
CVE-2022-37266,0.00474,0.63904
CVE-2025-32388,0.00024,0.04917
CVE-2020-7733,0.02255,0.84008
CVE-2021-32050,0.00044,0.13071
CVE-2021-27515,0.00188,0.40956
CVE-2021-3795,0.00168,0.38489
CVE-2024-37890,0.00541,0.66734
CVE-2019-14517,0.0024,0.47295
CVE-2017-16136,0.00328,0.55141
CVE-2022-37258,0.00474,0.63904
CVE-2023-22579,0.00098,0.28151
CVE-2025-30222,0.00032,0.07894
CVE-2023-4863,0.93949,0.99877
CVE-2018-16487,0.00409,0.60531
CVE-2019-17426,0.00237,0.46829
CVE-2022-3145,0.00061,0.19275
CVE-2022-39299,0.0745,0.91409
CVE-2024-34341,0.00311,0.53738
CVE-2025-59052,0.00047,0.14395
CVE-2022-33171,0.05771,0.90125
CVE-2022-21721,0.00931,0.75344
CVE-2021-33040,0.00307,0.53445
CVE-2022-23646,0.01477,0.80326
CVE-2025-32030,0.00108,0.298
CVE-2024-21536,0.00136,0.34346
CVE-2018-16330,0.00328,0.55211
CVE-2023-29199,0.25821,0.96081
CVE-2020-7760,0.0034,0.56108
CVE-2020-8116,0.0033,0.55449
CVE-2019-20922,0.00131,0.33537
CVE-2022-37259,0.00348,0.5672
CVE-2024-48948,0.00073,0.22853
CVE-2023-24807,0.00254,0.48718
CVE-2019-15599,0.03754,0.87574
CVE-2021-27524,0.00105,0.29236
CVE-2025-32379,0.00029,0.06953
CVE-2024-7246,0.00038,0.10676
CVE-2021-32040,0.00699,0.71163
CVE-2024-21538,0.00129,0.3319
CVE-2021-23370,0.0154,0.80748
CVE-2022-31129,0.04179,0.8825
CVE-2020-15084,0.00095,0.27525
CVE-2023-42282,0.00397,0.5984
CVE-2023-40014,0.00478,0.64161
CVE-2023-7080,0.00037,0.10384
CVE-2019-10768,0.00328,0.5523
CVE-2024-52798,0.00073,0.22884
CVE-2025-48387,0.0011,0.30176
CVE-2023-26156,0.00473,0.63853
CVE-2019-11358,0.04527,0.88712
CVE-2024-48930,0.00068,0.21419
CVE-2021-21353,0.00934,0.75382
CVE-2024-43368,0.00288,0.51976
CVE-2022-0122,0.00555,0.67182
CVE-2015-8861,0.0043,0.61807
CVE-2025-5889,0.00022,0.04357
CVE-2024-45389,0.0012,0.31819
CVE-2022-3064,0.01864,0.82428
CVE-2024-29042,0.0026,0.49277
CVE-2023-29198,0.00148,0.36034
CVE-2023-37478,0.01368,0.7957
CVE-2018-3767,0.00407,0.60411
CVE-2020-7743,0.01682,0.81539
CVE-2023-25344,0.00123,0.32263
CVE-2021-32804,0.85517,0.99333
CVE-2024-56159,0.02487,0.84769
CVE-2020-11052,0.00532,0.66427
CVE-2017-16042,0.00852,0.74167
CVE-2022-31150,0.00962,0.75727
CVE-2022-48345,0.00454,0.63031
CVE-2025-58754,0.00016,0.02461
CVE-2024-28103,0.00666,0.70418
